date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:02:24	23445/23445	---MCZ	200	added ('OK')	text/html	etag:%221466456211315|#public|0|en|||0%22	https://sites.google.com/site/saifahmednow/	C:/My%20Web%20Sites/my%20site/sites.google.com/site/saifahmednow/index.html	(from )
11:02:24	67/67	---MCZ	200	added ('OK')	text/plain	date:Wed,%2022%20Jun%202016%2015:02:26%20GMT	https://sites.google.com/robots.txt		(from )
11:02:24	3147/3147	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Jun%202016%2023:09:10%20GMT	https://ssl.gstatic.com/sites/p/2f468a/system/app/images/apple-touch-icon.png	C:/My%20Web%20Sites/my%20site/ssl.gstatic.com/sites/p/2f468a/system/app/images/apple-touch-icon.png	(from https://sites.google.com/site/saifahmednow/)
11:02:25	43/43	---M--	200	added ('OK')	image/gif	date:Sun,%2012%20Jun%202016%2023:09:10%20GMT	https://ssl.gstatic.com/sites/p/2f468a/system/app/images/cleardot.gif	C:/My%20Web%20Sites/my%20site/ssl.gstatic.com/sites/p/2f468a/system/app/images/cleardot.gif	(from https://sites.google.com/site/saifahmednow/)
11:02:25	42406/42406	---MC-	200	added ('OK')	text/css	date:Sun,%2012%20Jun%202016%2023:09:10%20GMT	https://ssl.gstatic.com/sites/p/2f468a/system/app/css/codemirror_css.css	C:/My%20Web%20Sites/my%20site/ssl.gstatic.com/sites/p/2f468a/system/app/css/codemirror_css.css	(from https://sites.google.com/site/saifahmednow/)
11:02:26	8590/8590	---MC-	200	added ('OK')	text/css	date:Sun,%2012%20Jun%202016%2023:09:10%20GMT	https://ssl.gstatic.com/sites/p/2f468a/system/app/css/trogedit.css	C:/My%20Web%20Sites/my%20site/ssl.gstatic.com/sites/p/2f468a/system/app/css/trogedit.css	(from https://sites.google.com/site/saifahmednow/)
11:02:27	1158325/1158325	---MC-	200	added ('OK')	text/javascript	date:Sun,%2012%20Jun%202016%2023:09:10%20GMT	https://ssl.gstatic.com/sites/p/2f468a/system/js/trog_edit__en.js	C:/My%20Web%20Sites/my%20site/ssl.gstatic.com/sites/p/2f468a/system/js/trog_edit__en.js	(from https://sites.google.com/site/saifahmednow/)
11:02:27	10006/10006	---MC-	200	added ('OK')	text/css	date:Wed,%2022%20Jun%202016%2015:02:30%20GMT	https://sites.google.com/site/saifahmednow/_/rsrc/1465686560000/system/app/css/editor.css	C:/My%20Web%20Sites/my%20site/sites.google.com/site/saifahmednow/_/rsrc/1465686560000/system/app/css/editor.css	(from https://sites.google.com/site/saifahmednow/)
11:02:27	1032/1032	---MC-	200	added ('OK')	text/css	date:Sun,%2012%20Jun%202016%2023:09:10%20GMT	https://ssl.gstatic.com/sites/p/2f468a/system/app/css/codeeditor.css	C:/My%20Web%20Sites/my%20site/ssl.gstatic.com/sites/p/2f468a/system/app/css/codeeditor.css	(from https://sites.google.com/site/saifahmednow/)
11:02:28	192927/192927	---MC-	200	added ('OK')	text/css	date:Sun,%2012%20Jun%202016%2023:09:10%20GMT	https://ssl.gstatic.com/sites/p/2f468a/system/app/themes/iceberg/standard-css-iceberg-ltr-ltr.css	C:/My%20Web%20Sites/my%20site/ssl.gstatic.com/sites/p/2f468a/system/app/themes/iceberg/standard-css-iceberg-ltr-ltr.css	(from https://sites.google.com/site/saifahmednow/)
